dataset,split_kind,seed,assignment,n_groups,n_rows,n_strata,group_key,within,axis,partition_hash
real_biosensor,extrapolation,0,test,16,48,4,plate|construct|dose_mM,construct,dose_mM,c7eef69d915eff4b598b7b5e91800726a50efc8a8b0c5212932c90e0081170f4
real_biosensor,extrapolation,0,train,96,288,4,plate|construct|dose_mM,construct,dose_mM,c7eef69d915eff4b598b7b5e91800726a50efc8a8b0c5212932c90e0081170f4
real_biosensor,extrapolation,1,test,16,48,4,plate|construct|dose_mM,construct,dose_mM,c7eef69d915eff4b598b7b5e91800726a50efc8a8b0c5212932c90e0081170f4
real_biosensor,extrapolation,1,train,96,288,4,plate|construct|dose_mM,construct,dose_mM,c7eef69d915eff4b598b7b5e91800726a50efc8a8b0c5212932c90e0081170f4
real_biosensor,extrapolation,2,test,16,48,4,plate|construct|dose_mM,construct,dose_mM,c7eef69d915eff4b598b7b5e91800726a50efc8a8b0c5212932c90e0081170f4
real_biosensor,extrapolation,2,train,96,288,4,plate|construct|dose_mM,construct,dose_mM,c7eef69d915eff4b598b7b5e91800726a50efc8a8b0c5212932c90e0081170f4
real_biosensor,heldout_construct,0,test,56,168,2,plate|construct|dose_mM,stressor,construct,98ca4afb57c4da786e8107c061723188558bb579c9a260ddf749e09e763df104
real_biosensor,heldout_construct,0,train,56,168,2,plate|construct|dose_mM,stressor,construct,98ca4afb57c4da786e8107c061723188558bb579c9a260ddf749e09e763df104
real_biosensor,heldout_construct,1,test,56,168,2,plate|construct|dose_mM,stressor,construct,87f48d168591507eb2fb931edf1add4749a7d3bde6f74898e391348a66077bf5
real_biosensor,heldout_construct,1,train,56,168,2,plate|construct|dose_mM,stressor,construct,87f48d168591507eb2fb931edf1add4749a7d3bde6f74898e391348a66077bf5
real_biosensor,heldout_construct,2,test,56,168,2,plate|construct|dose_mM,stressor,construct,87f48d168591507eb2fb931edf1add4749a7d3bde6f74898e391348a66077bf5
real_biosensor,heldout_construct,2,train,56,168,2,plate|construct|dose_mM,stressor,construct,87f48d168591507eb2fb931edf1add4749a7d3bde6f74898e391348a66077bf5
real_biosensor,heldout_replicate,0,test,56,168,4,plate|construct|dose_mM,construct,plate,d59c25f5fbc9e473e931c9124d4bed3543f85a1c53a1dc8d953c0655a02cb7aa
real_biosensor,heldout_replicate,0,train,168,504,4,plate|construct|dose_mM,construct,plate,d59c25f5fbc9e473e931c9124d4bed3543f85a1c53a1dc8d953c0655a02cb7aa
real_biosensor,heldout_replicate,1,test,56,168,4,plate|construct|dose_mM,construct,plate,a9f6629111957ed21ec198c30141f3a158a80e13a392659131287e0a8432a067
real_biosensor,heldout_replicate,1,train,168,504,4,plate|construct|dose_mM,construct,plate,a9f6629111957ed21ec198c30141f3a158a80e13a392659131287e0a8432a067
real_biosensor,heldout_replicate,2,test,56,168,4,plate|construct|dose_mM,construct,plate,327bd2afe062a71bd6c4da2c55ac93ee8decde3217e63e792ed085bd95791cb5
real_biosensor,heldout_replicate,2,train,168,504,4,plate|construct|dose_mM,construct,plate,327bd2afe062a71bd6c4da2c55ac93ee8decde3217e63e792ed085bd95791cb5
real_biosensor,interpolation,0,test,16,48,4,plate|construct|dose_mM,construct,dose_mM,88d8effa67b9704d759aeb5ef1310eb0bd926d0aa6111fc8d62c708852cbce4e
real_biosensor,interpolation,0,train,96,288,4,plate|construct|dose_mM,construct,dose_mM,88d8effa67b9704d759aeb5ef1310eb0bd926d0aa6111fc8d62c708852cbce4e
real_biosensor,interpolation,1,test,16,48,4,plate|construct|dose_mM,construct,dose_mM,e00c13bcae570618f0813456a85217c5422e33ea2984a90c7c4f38aaca4dd350
real_biosensor,interpolation,1,train,96,288,4,plate|construct|dose_mM,construct,dose_mM,e00c13bcae570618f0813456a85217c5422e33ea2984a90c7c4f38aaca4dd350
real_biosensor,interpolation,2,test,16,48,4,plate|construct|dose_mM,construct,dose_mM,b812898431be3c72cfd4dcea937afa5105eac28b7769bfb3223d468dc9da60e3
real_biosensor,interpolation,2,train,96,288,4,plate|construct|dose_mM,construct,dose_mM,b812898431be3c72cfd4dcea937afa5105eac28b7769bfb3223d468dc9da60e3
