sample_id,group_id,split,policy,status,growth_rate_per_h,cell_population_growth_rate_per_h,mass_balance_residual,biomass_fractions
train-0,culture-train-0,train,mixture,optimal,2.0,1.9999999999999996,2.220446049250313e-16,"{""off"": 0.8145426141383856, ""on"": 0.18545738586161445}"
train-0,culture-train-0,train,mechanistic,optimal,2.0,2.0,0.0,"{""on"": 1.0}"
train-0,culture-train-0,train,fixed_objective,optimal,2.0,2.0,0.0,"{""on"": 1.0}"
train-0,culture-train-0,train,fixed_transition,optimal,2.0,2.0,0.0,"{""off"": 0.25, ""on"": 0.75}"
train-1,culture-train-1,train,mixture,optimal,1.9999999999999998,1.9999999999999998,2.220446049250313e-16,"{""off"": 0.6974529260157113, ""on"": 0.3025470739842886}"
train-1,culture-train-1,train,mechanistic,optimal,2.0,2.0,0.0,"{""on"": 1.0}"
train-1,culture-train-1,train,fixed_objective,optimal,2.0,2.0,0.0,"{""on"": 1.0}"
train-1,culture-train-1,train,fixed_transition,optimal,2.0,2.0,0.0,"{""off"": 0.25, ""on"": 0.75}"
train-2,culture-train-2,train,mixture,optimal,2.0,2.0,8.881784197001252e-16,"{""off"": 0.04598243018143701, ""on"": 0.954017569818563}"
train-2,culture-train-2,train,mechanistic,optimal,2.0,2.0,0.0,"{""on"": 1.0}"
train-2,culture-train-2,train,fixed_objective,optimal,2.0,2.0,0.0,"{""on"": 1.0}"
train-2,culture-train-2,train,fixed_transition,optimal,2.0,2.0,0.0,"{""off"": 0.25, ""on"": 0.75}"
train-3,culture-train-3,train,mixture,optimal,2.0,2.0,8.881784197001252e-16,"{""off"": 0.024673892257629174, ""on"": 0.9753261077423708}"
train-3,culture-train-3,train,mechanistic,optimal,2.0,2.0,0.0,"{""on"": 1.0}"
train-3,culture-train-3,train,fixed_objective,optimal,2.0,2.0,0.0,"{""on"": 1.0}"
train-3,culture-train-3,train,fixed_transition,optimal,2.0,2.0,0.0,"{""off"": 0.25, ""on"": 0.75}"
test-0,culture-test-0,test,mixture,optimal,2.0,2.0,4.440892098500626e-16,"{""off"": 0.5475049462544129, ""on"": 0.452495053745587}"
test-0,culture-test-0,test,mechanistic,optimal,2.0,2.0,0.0,"{""on"": 1.0}"
test-0,culture-test-0,test,fixed_objective,optimal,2.0,2.0,0.0,"{""on"": 1.0}"
test-0,culture-test-0,test,fixed_transition,optimal,2.0,2.0,0.0,"{""off"": 0.25, ""on"": 0.75}"
test-1,culture-test-1,test,mixture,optimal,2.0,2.0,8.881784197001252e-16,"{""off"": 0.08410626870958444, ""on"": 0.9158937312904155}"
test-1,culture-test-1,test,mechanistic,optimal,2.0,2.0,0.0,"{""on"": 1.0}"
test-1,culture-test-1,test,fixed_objective,optimal,2.0,2.0,0.0,"{""on"": 1.0}"
test-1,culture-test-1,test,fixed_transition,optimal,2.0,2.0,0.0,"{""off"": 0.25, ""on"": 0.75}"
