product,precursor,effector,flux_mmol_per_gdcw_h,growth_rate_per_h,precursor_supply,relative_change,clears_22pct_floor,conditions
beta_carotene,s_0189,trehalose,0.25,0.18,0.67975,-0.0634,False,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
beta_carotene,s_0189,trehalose,0.5,0.18,0.63309,-0.1277,False,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
beta_carotene,s_0189,trehalose,1.0,0.18,0.538986,-0.2573,True,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
beta_carotene,s_0189,trehalose,2.0,0.18,0.350777,-0.5167,True,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
beta_carotene,s_0189,trehalose,5.0,0.18,,,,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
beta_carotene,s_0189,glycerol,0.25,0.18,0.713246,-0.0172,False,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
beta_carotene,s_0189,glycerol,0.5,0.18,0.700629,-0.0346,False,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
beta_carotene,s_0189,glycerol,1.0,0.18,0.674866,-0.0701,False,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
beta_carotene,s_0189,glycerol,2.0,0.18,0.622537,-0.1422,False,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
beta_carotene,s_0189,glycerol,5.0,0.18,0.465553,-0.3585,True,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
beta_carotene,s_0189,glutathione,0.25,0.18,0.673357,-0.0722,False,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
beta_carotene,s_0189,glutathione,0.5,0.18,0.618244,-0.1481,False,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
beta_carotene,s_0189,glutathione,1.0,0.18,0.507862,-0.3002,True,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
beta_carotene,s_0189,glutathione,2.0,0.18,0.285648,-0.6064,True,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
beta_carotene,s_0189,glutathione,5.0,0.18,,,,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
gadusol,s_1427,trehalose,0.25,0.18,5.871129,-0.0659,False,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
gadusol,s_1427,trehalose,0.5,0.18,5.457201,-0.1317,False,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
gadusol,s_1427,trehalose,1.0,0.18,4.629343,-0.2634,True,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
gadusol,s_1427,trehalose,2.0,0.18,2.965104,-0.5282,True,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
gadusol,s_1427,trehalose,5.0,0.18,,,,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
gadusol,s_1427,glycerol,0.25,0.18,6.163475,-0.0193,False,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
gadusol,s_1427,glycerol,0.5,0.18,6.041891,-0.0387,False,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
gadusol,s_1427,glycerol,1.0,0.18,5.798725,-0.0774,False,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
gadusol,s_1427,glycerol,2.0,0.18,5.312391,-0.1548,False,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
gadusol,s_1427,glycerol,5.0,0.18,3.85339,-0.3869,True,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
gadusol,s_1427,glutathione,0.25,0.18,5.809136,-0.0757,False,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
gadusol,s_1427,glutathione,0.5,0.18,5.321388,-0.1533,False,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
gadusol,s_1427,glutathione,1.0,0.18,4.345892,-0.3085,True,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
gadusol,s_1427,glutathione,2.0,0.18,2.262069,-0.6401,True,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
