module,wide_in_sample,built_in_sample,three_sensor_in_sample,run_mode,n_doses,replicates
ESR,0.9178529283159855,0.8195425727046122,0.5385966624863197,full,6,6
UPR,0.09808143310814044,0.3932595862102459,0.3985179128646765,full,6,6
oxidative,0.8818446254744456,0.7984357447060633,0.8281150587941808,full,6,6
heat,0.2271664497054503,0.19372277919287073,0.19198015710498295,full,6,6
osmotic,0.04706935689120528,0.011586893932637232,0.016055961481784564,full,6,6
proteasome,0.5529627521152297,0.42039323613519275,0.4229290744463068,full,6,6
iron,0.06366303366945003,0.05460436626517895,0.0632099693581647,full,6,6
cell_wall,0.03265318281504792,0.02826116696941472,0.03795394587306622,full,6,6
dna_damage,0.15789047699511405,0.041929107593536186,0.05721312415552404,full,6,6
calcium,0.6822285242045775,0.03377992120400053,0.028971428604034566,full,6,6
carbon,0.9245579942101442,0.32143361914151414,0.04213621518860999,full,6,6
nitrogen,0.11863895744514319,0.03454220459447532,0.018224976353006017,full,6,6
hypoxia,0.4266216382788448,0.30982130209448244,0.3086314425709158,full,6,6
copper,0.039980878303388034,0.0320164011194235,0.03970532080449385,full,6,6
zinc,0.009624977042094862,0.006739465947488199,0.009184484515421976,full,6,6
sulfur,0.01035560860524698,0.013206024850161424,0.008990447317840822,full,6,6
xenobiotic,0.0631085409915243,0.03531751138082195,0.036612319356917666,full,6,6
retrograde,0.8348417125809543,0.35306108517667867,0.04622338813200566,full,6,6
alkaline_ph,0.16730264369021874,0.01169570793971253,0.006127056155909916,full,6,6
redox,0.7651837421909848,0.6213896001560866,0.6465787930372802,full,6,6
peroxide,0.536585312010414,0.5523316344894729,0.5707702258814479,full,6,6
atp,0.03398892253382357,0.5166804545882105,0.42574987916296725,full,6,6
ph,0.07141013795483542,0.0009732647914765247,0.0016746763887951488,full,6,6
nadh,0.2787872439499164,0.2685796132921302,0.25485393897912156,full,6,6
