held_out,modules_recovered,mean_over_driven,run_mode,n_doses,replicates
BPS,1,0.3282708048813214,full,6,6
DTT,1,0.20855812011825137,full,6,6
H2O2,5,0.2804526654360212,full,6,6
MG132,1,0.2266048259977087,full,6,6
MMS,1,0.24313981564981124,full,6,6
NaCl,1,0.18494075947180555,full,6,6
TPEN,1,0.23791473041321692,full,6,6
acetic_acid,1,0.21203972450350048,full,6,6
antimycin_A,0,0.0486868644045004,full,6,6
caffeine,1,0.21241004333571034,full,6,6
calcium_chloride,1,0.3239738655488925,full,6,6
cobalt_chloride,1,0.16182705506750628,full,6,6
congo_red,1,0.3453215183207643,full,6,6
copper_sulfate,1,0.2683349769843261,full,6,6
diamide,3,0.3461392628237336,full,6,6
fluconazole,1,0.1783548952968249,full,6,6
glucose_starvation,1,0.2282721818578907,full,6,6
heat,1,0.2906814934346111,full,6,6
hydroxyurea,1,0.3171459799053817,full,6,6
menadione,6,0.402976947122687,full,6,6
methionine_starvation,1,0.3324198648643793,full,6,6
rapamycin,1,0.2048459778130544,full,6,6
sodium_hydroxide,1,0.1196115132020531,full,6,6
sorbitol,1,0.28835494685842616,full,6,6
tunicamycin,1,0.23868638962737224,full,6,6
