held_out,modules_recovered,mean_over_driven,run_mode,n_doses,replicates
BPS,0,0.10637992096373211,full,6,6
DTT,1,0.13787047667076963,full,6,6
H2O2,4,0.2393083247019061,full,6,6
MG132,0,0.08015570171283008,full,6,6
MMS,1,0.048927048431744224,full,6,6
NaCl,0,0.08363516845667159,full,6,6
TPEN,0,0.09896123329258122,full,6,6
acetic_acid,0,0.054711746183193966,full,6,6
antimycin_A,0,0.0667186127669481,full,6,6
caffeine,0,0.07878945154256627,full,6,6
calcium_chloride,0,0.08848672457011181,full,6,6
cobalt_chloride,1,0.17377409067049532,full,6,6
congo_red,0,0.07358278242617283,full,6,6
copper_sulfate,2,0.19703067958263717,full,6,6
diamide,2,0.26073745135437676,full,6,6
fluconazole,0,0.0818177278055994,full,6,6
glucose_starvation,0,0.06436834991507234,full,6,6
heat,0,0.09241766110006017,full,6,6
hydroxyurea,0,0.1147869803118754,full,6,6
menadione,4,0.304595863142951,full,6,6
methionine_starvation,0,0.09097772671031101,full,6,6
rapamycin,0,0.05881678058250114,full,6,6
sodium_hydroxide,0,0.04583782612593459,full,6,6
sorbitol,0,0.10819837637583424,full,6,6
tunicamycin,0,0.09516458958669631,full,6,6
