held_out,modules_recovered,mean_over_driven,run_mode,n_doses,replicates
BPS,5,0.44117798148264115,full,6,6
DTT,6,0.3395214920060858,full,6,6
H2O2,10,0.490634685793763,full,6,6
MG132,4,0.3766770485106395,full,6,6
MMS,5,0.3354558609200237,full,6,6
NaCl,6,0.5166238262259033,full,6,6
TPEN,5,0.43684401633408876,full,6,6
acetic_acid,5,0.330687365060576,full,6,6
antimycin_A,5,0.3435896283501045,full,6,6
caffeine,5,0.29645669690959725,full,6,6
calcium_chloride,5,0.5249434381711859,full,6,6
cobalt_chloride,4,0.2704007327617589,full,6,6
congo_red,5,0.43962517829962217,full,6,6
copper_sulfate,6,0.4151579703488431,full,6,6
diamide,8,0.8186606748757509,full,6,6
fluconazole,4,0.3405751008317753,full,6,6
glucose_starvation,5,0.591463745484707,full,6,6
heat,4,0.4585307919914435,full,6,6
hydroxyurea,5,0.4986526732506033,full,6,6
menadione,10,0.7594296162982357,full,6,6
methionine_starvation,5,0.44923672353271027,full,6,6
rapamycin,5,0.5922253802734373,full,6,6
sodium_hydroxide,6,0.3456132127039497,full,6,6
sorbitol,5,0.436987618919413,full,6,6
tunicamycin,5,0.31404272022408536,full,6,6
